city,count,lat,lon
Adelaide,2,-34.9281805,138.5999312
Algiers,9,36.7729333,3.0588445
Amsterdam,240,52.3730796,4.8924534
Anchorage,1,61.2163129,-149.894852
Athens,12,33.9597677,-83.376398
Auckland,2,-36.852095,174.7631803
Baghdad,1,33.3061701,44.3872213
Bahia,1,-12.285251,-41.9294776
Bangkok,1,13.7524938,100.4935089
Belgrade,28,44.8178131,20.4568974
Belize,1,17.1204943,-88.6859028
Bogota,2,4.6533816,-74.0836333
Brisbane,4,-27.4689682,153.0234991
Brussels,34,50.8465573,4.351697
Buenos Aires,10,-34.6083696,-58.4440583
Cairo,5,30.0443879,31.2357257
Canberra,6,-35.2975906,149.1012676
Cancun,1,21.1527467,-86.8425761
Casablanca,1,33.5945144,-7.6200284
Chicago,49,41.8755616,-87.6244212
Chongqing,23,30.05518,107.8748712
Denver,5,39.7392364,-104.984862
Dhaka,1,23.7544529,90.393336
Halifax,1,44.648618,-63.5859487
Harare,4,-17.8567035,31.0601584
Havana,1,23.135305,-82.3589631
Helsinki,5,60.1674881,24.9427473
Indiana,1,40.3270127,-86.1746933
Istanbul,10,41.0766019,29.052495
Jerusalem,1,31.7788242,35.2257626
Kolkata,26,22.5726459,88.3638953
Kuala Lumpur,7,3.1526589,101.7022205
Kuwait,63,29.3796532,47.9734174
London,254,51.5074456,-0.1277653
Los Angeles,51,34.0536909,-118.242766
Mexico City,4,19.4326296,-99.1331785
Monrovia,2,6.328034,-10.797788
Moscow,8,55.625578,37.6063916
Muscat,2,23.5882019,58.3829448
Nairobi,3,-1.3026148499999999,36.82884201813725
New York,134,40.7127281,-74.0060152
Perth,2,-31.9558933,115.8605855
Phoenix,3,33.4484367,-112.074141
Regina,1,50.4479733,-104.6158764
Santiago,2,9.8694792,-83.7980749
Sao Paulo,20,-23.5506507,-46.6333824
Seoul,4,37.5666791,126.9782914
Taipei,4,25.0375198,121.5636796
Tehran,6,35.6892523,51.3896004
Tokyo,4,35.6768601,139.7638947
Tripoli,1,32.896672,13.1777923
Warsaw,19,52.2337172,21.071432235636493
